food_item,count
Ants on a Log (4 pcs),2
Chicken Alfredo (1.5 cups),2
Tahini (1 tbsp),2
Bobotie (1 serving),2
Mayonnaise (1 tbsp for dipping),2
Biryani (Chicken 1.5 cups),2
Chocolate (Hershey's bar 1 segment),2
Cacio e Pepe (1.5 cups),2
French Fries (medium),2
Dulce de Leche (1 tbsp filling),2
Pancetta (0.5 oz in sauce),2
Risotto (Mushroom 1 cup),2
Mashed Potatoes (1 cup),2
Oregano (1 tsp),2
Shish Tawook (2 skewers),2
Blue Cheese Dressing (2 tbsp),2
Apple Pie (1 slice),2
Carbonara (1.5 cups),2
Sweet Vermouth (1 oz),2
Coffee (black),2
Jicama (1 cup sticks),2
Pecorino Cheese (1 tbsp),2
Maple Syrup (2 tbsp),2
Lemon Wedge (for calamari),2
Steamed Broccoli (1 cup),2
French Bread (2 slices),2
Stale Bread (1/2 cup in soup),2
Panettone (1 slice),2
Red Cabbage (1 cup raw),2
Chicken Parm Sandwich,2
Pretzels (1 oz),2
Greek Yogurt (plain 1 cup),2
Lemon Juice (1 tbsp dressing),2
Balsamic Glaze (1 tsp),2
Tagliatelle al Ragù (Bolognese),2
Pita Bread (1 whole wheat),2
Gorgonzola Cheese (1 oz),2
Chicken Tikka Masala (1.5 cups),2
Pistachio (garnish),2
Peanut Butter & Jelly Sandwich,2
Tofu Scramble,2
Fried Okra (1 cup),2
Jalapeno (1 tbsp sliced),2
Red Wine (5 oz glass),2
Pine Nuts (1/2 tbsp filling),2
Eggs Benedict (1 serving),2
Sauerkraut (1/4 cup side),2
Kimchi (1/2 cup),2
Focaccia (1 square),2
Gnocchi alla Sorrentina (1.5 cups),2
Fattoush Salad (1.5 cups),2
Grapes (1 cup),2
Puff Pastry (1 oz wrapper),2
Beef Pho (1 large bowl),2
Pepperoncini (2 peppers),2
Fruit Cocktail (canned 1 cup),2
Sausage Link (1 cooked),2
Danish (Cheese 1 medium),2
Water Cracker (5 crackers),2
Olive Oil (1 tbsp on bread),2
Guacamole (1/4 cup),2
Chicken Kebab (2 skewers),2
Pickled Cucumber (1/4 cup),2
Sweet Chili Sauce (2 tbsp),2
Chicken Breast (4oz roasted),2
Cocktail Sauce (2 tbsp),2
Muffin (Blueberry 1 large),2
Side Salad (light dressing),2
Pretzel Bun (1 medium),2
Mushroom (White 1 cup sliced),2
Corn Tortilla (1 medium),2
Za'atar (1 tbsp),2
Onions (sautéed 1/4 cup),2
Edamame (in pod 1 cup),2
Egg Drop Soup (1 cup),2
Ribollita (1.5 cups soup),2
Soy Milk (Original 1 cup),2
Seaweed Salad (1/2 cup),2
Pickled Turnips (2 tbsp),2
Media Luna (1 pastry),2
Cheesy Grits (1 cup),2
Potato (1/2 w/ pasta),2
Thai Basil (garnish),2
Pita Crisps (1 oz),2
Chocolate Sauce (1 tbsp dipping),2
Hollandaise Sauce (1 tbsp),2
Coarse Salt (garnish),2
Matcha Latte (12 oz),2
Pesto Sauce (1/4 cup),2
Labneh (2 tbsp),2
Choripan (1 sandwich),2
Oyster (1 medium raw),2
Lassi (Mango 1 cup),2
Chili Powder (1 tsp),2
Pork Bun (1 steamed),2
Chocolate Pudding (1/2 cup),2
Raisins (1 tbsp),2
Rosemary (1 tsp topping),2
Yellow Rice (1 cup),2
Vitello Tonnato (1 serving),2
Canadian Bacon (2 slices),2
Bun (hamburger),2
Cannellini Beans (1/2 cup in soup),2
Vodka Soda (1 drink),2
Lentil Soup (1 can),2
Ham (3oz deli sliced),2
Apple Cider (1 cup),2
Gin (1 oz),2
Cashews (1 oz roasted),2
Grilled Chicken Salad,2
Saltimbocca (1 serving),2
Beef Steak (6oz sirloin),2
Biscuits and Gravy (1 serving),2
Lobster Bisque (1 cup),2
Mandarin Orange (1 medium),2
Egg Yolk (1 large in sauce),2
Grapefruit (1/2 medium),2
Potato Leek Soup (1 cup),2
Black Beans (1/2 cup),2
Spicy Mustard (1 tbsp),2
Bok Choy (1 cup steamed),2
Guava,2
Cabbage Slaw (side),2
Shawarma (Chicken 1 wrap),2
Ragù (filling 1 tbsp),2
Coffee Liqueur (1 oz),2
Angostura Bitters (dash),2
Rice (1/4 cup filling),2
Shrimp Scampi (1 cup),2
Balsamic Vinaigrette (2 tbsp),2
Pine Nuts (1 tbsp),2
Mixed Nuts (1/4 cup),2
Coriander (1 tsp),2
Dark Chocolate (1 oz 70%),2
Beer (12 oz light),2
Gin & Tonic (1 drink),2
Chicken Noodle Soup (1 can),2
Marshmallow (1 large),2
Tomato (1/4 cup side),2
Beef Stroganoff (1.5 cups),2
Tomato Sauce (1/2 cup),2
Pizza (1 slice pepperoni),2
Garlic (1 clove),2
Pani Puri (6 pcs),2
Tuna Salad (1/2 cup),2
Olives (5 side),2
Espresso Martini (1 drink),2
Sweet Potato (1 medium baked),2
Panna Cotta (1 serving),2
Vegetable Soup (1 can),2
Cream Cheese (2 tbsp),2
Hot Sauce (1 tsp Tabasco),2
Sriracha (1 tsp),2
Angel Hair Pasta (1 cup),2
Coffee Beans (3 garnish),2
Rosemary (garnish),2
Green Onion (1 tbsp garnish),2
Honey (1 tbsp),2
Cod (4oz baked),2
Ice Cream (1/2 cup vanilla),2
Mussels (3oz steamed),2
Cranberry Juice (1 cup),2
Lime Wedge (garnish),2
Bagel (plain),2
Pine Nuts (1/2 tbsp),2
Pork Chop (4oz grilled),2
Garlic Sauce (1 tbsp),2
Granola (1/4 cup topping),2
Prosciutto (1 slice wrapper),2
Clam Chowder (1 cup),2
Caprese Salad,2
Corn on the Cob (1 large),2
Lobster (3oz steamed),2
Chocolate Milk (1 cup),2
Tahini Sauce (1 tbsp),2
Mozzarella (filling 0.5 oz),2
Jasmine Rice (1 cup cooked),2
Ham & Cheese Croissant,2
Soda (1 can Coke),2
Silken Tofu (3oz in soup),2
Root Beer (1 can),2
Iced Tea (Sweetened 16oz),2
White Beans (Tuscan style 1/2 cup),2
Mackerel (3oz cooked),2
Oatmeal (1 cup cooked),2
Tortilla Chips (1 oz),2
Campari (1 oz),2
Pecorino Romano (1/4 cup),2
Cucumber Slices (1 cup),2
Jelly (1 tbsp grape),2
Gelato (Pistachio 1/2 cup),2
Pickled Radish (1/4 cup),2
Mint Chutney (1 tbsp),2
Caponata (1/2 cup),2
Garlic (1 clove in beans),2
Baked Potato (medium),2
Kimchi Jjigae (1 bowl),2
Cheesecake (1 slice),2
Diet Soda (1 can),2
Refried Beans (1/2 cup),2
Trail Mix (1/4 cup),2
Chicken Milanesa (1 serving),2
Sashimi (Salmon 3 pcs),2
Egg White (in drink),2
Chorizo (1 oz in paella),2
Macaroni Salad (1 cup),2
Tempeh (3oz),2
Churros (2 sticks),2
Saffron (pinch),2
Frosting (Vanilla 2 tbsp),2
Chicken McNuggets (6 pcs),2
Arancini (1 large ball),2
Blackberries (1 cup),2
Macadamia Nuts (1 oz),2
Olive Oil (1 tsp garnish),2
Lime Juice (1 tbsp),2
Cupcake (Vanilla 1 medium),2
Chickpeas (1/2 cup canned),2
Orange Juice (1 cup),2
Spaghetti Bolognese,2
Pine Nuts (1 tbsp in pesto),2
Orange Peel (garnish),2
Red Onion (1/4 cup in ceviche),2
Capers (1 tbsp),2
Tofu Stir-fry,2
Asparagus (1 cup steamed),2
Brown Rice (1 cup cooked),2
Green Curry Paste (1 tbsp),2
Sea Salt (coarse 1/4 tsp),2
Shrimp Cocktail (4 large shrimp),2
Coconut Shrimp (5 pcs),2
Ground Lamb (1 oz filling),2
Breadcrumbs (coating),2
T-Bone Steak (6oz),2
Crepe (1 plain),2
Risotto alla Milanese (1 cup),2
Bubble Tea (16 oz milk tea),2
Papaya (1 cup cubes),2
Sauerkraut (1/2 cup),2
Peanut Sauce (2 tbsp),2
Gummy Bears (10 pcs),2
Kale (1 cup in soup),2
Negroni (1 drink),2
Waffles (2 homemade),2
Prosecco (3 oz),2
Chutney (Mango 1 tbsp),2
Coconut Milk (1/4 cup canned),2
Lemon Bar (1 square),2
Duck (3oz roasted),2
Apple,2
Ketchup (1 packet),2
Hash Browns (1 cup),2
Sage (in beans),2
Malva Pudding (1 slice),2
Bean Sprouts (1/4 cup garnish),2
Sage (2 leaves),2
Pate (Mushroom 2 tbsp),2
Biscotti (1 cookie),2
Parmigiano-Reggiano (1 tbsp),2
Basil (2 tbsp fresh),2
Samosa (1 piece vegetable),2
White Bread (1 slice),2
Turkey Burger (1 patty),2
Green Peas (1/2 cup),2
Cinnamon Sugar (1 tsp),2
Halibut (4oz baked),2
Cilantro (2 tbsp garnish),2
Onion (1/2 cup raw chopped),2
Supplì (1 piece fried rice ball),2
Custard (1/4 cup),2
Raspberries (1 cup),2
Egg Noodles (1 cup cooked),2
Tartar Sauce (2 tbsp),2
Ground Beef (2 oz in sauce),2
Tapioca Pearls (1/4 cup boba),2
Quesadilla (Cheese 1 medium),2
Pita Bread (White 1 large),2
Soy Sauce (1 tbsp in stir-fry),2
Fish Tacos (2 tacos),2
Burger (cheeseburger),2
S'more (1 serving),2
Pork Floss (1 tbsp),2
Maple Syrup (1 tbsp),2
Turkey Bacon (2 slices),2
Cottage Cheese (1/2 cup),2
Hollandaise Sauce (2 tbsp),2
Salmon (4oz grilled),2
Tuna Sauce (2 tbsp),2
Hard-Boiled Egg (1 large),2
Ginger Ale (1 can),2
Cucumber (1/4 cup side),2
Lettuce (Romaine 2 cups),2
Osso Buco (1 serving),2
Beef Jerky (1 oz),2
Pita Bread (1 white),2
Almond Milk (Unsweetened 1 cup),2
Fresh Mozzarella (1 oz),2
Guanciale (1 oz),2
Raisins (1/4 cup),2
Capers (garnish),2
Mashed Cauliflower (1 cup),2
Empanada (Beef 1 medium),2
Lomo Saltado (1.5 cups),2
French Fries (side),2
Kibbeh (1 piece fried),2
Cheddar Cheese (1 oz),2
Pickle (1 whole dill),2
Sour Cream (1 tbsp),2
Aji Amarillo Paste (1 tsp),2
Orange,2
Veggie Burger (1 patty),2
Beef Burrito (large),2
Tuna Melt,2
Blueberries (1/2 cup),2
Rye Bread (1 slice),2
Bell Peppers & Onions (sautéed),2
Tamarind Chutney (1 tbsp),2
Aperol Spritz (1 drink),2
Caesar Salad (with chicken),2
Chicken Thigh (1 roasted),2
Scrambled Eggs (2 large),2
Coconut (shredded garnish),2
Shrimp (3oz steamed),2
Whole Wheat Toast (1 slice),2
Meatball Sub (6 inch),2
Green Beans (1 cup),2
Simple Syrup (1/2 oz),2
Chocolate Croissant,2
Manicotti (2 shells cheese),2
Cottage Cheese (1 cup low fat),2
Olive (garnish),2
String Cheese (1 stick),2
Creamed Spinach (1/2 cup),2
Bacon (2 slices cooked),2
Vegetable Broth (1 cup),2
Bulgur (1 tbsp shell),2
Smoothie (Fruit & Yogurt),2
Walnuts (1 tbsp chopped),2
Alfajores (1 cookie),2
Sour Cream (2 tbsp),2
Saltine Crackers (5 crackers),2
Gnocchi (1 cup),2
Lemon Juice (1 tsp in soup),2
Italian Dressing (2 tbsp),2
Rye Crispbread (2 slices),2
Cannoli (1 medium),2
Black Pepper (1 tsp),2
Carrot Sticks (1 cup),2
Cheese Whiz (2 tbsp),2
Bulgur (1/4 cup in tabouli),2
Sake (3 oz),2
Bread Roll (hoagie),2
Fish Sauce (1 tsp),2
Amaretti Cookie (2 cookies),2
Turkey Chili (1 cup),2
Coconut Flakes (1 tbsp topping),2
Pistachios (1 oz shelled),2
Tilapia (4oz baked),2
Caramel Sauce (1 tbsp),2
Pickle (1 spear dill),2
Eggplant (1/2 cup in caponata),2
Avocado (1/2 fruit),2
Black Pepper (1/4 tsp),2
Chai Latte (12 oz),2
Ramen (Instant 1 pack),2
English Muffin (whole wheat),2
Bison Burger (1 patty),2
Fried Pita (1/2 pita in salad),2
Club Sandwich,2
Popcorn (3 cups air-popped),2
Mayonnaise (1 tbsp),2
Shredded Cheese (Cheddar 1/4 cup),2
Coffee (with cream/sugar),2
Pancakes (2 medium),2
Avocado Toast (1 slice),2
Banana,2
Beef Tacos (2 hard shell),2
Beef Wellington (1 slice),2
Chicken Piccata (1 serving),2
Gyro (1 sandwich),2
Spaghetti (side),2
Espresso (for dipping),2
Tofu (4oz firm),2
Provolone Cheese (1 slice),2
Reuben Sandwich,2
Falafel (3 pieces),2
Onion Rings (6 rings),2
White Wine (5 oz glass),2
Melted Butter (for lobster),2
Mocha Latte (16oz),2
Honey (1 tsp drizzle),2
Onion (1/8 minced in sauce),2
Goat Cheese (1 oz),2
Nutritional Yeast (1 tbsp),2
Croutons (Garlic 1/4 cup),2
Pico de Gallo (1/4 cup),2
Kombucha (1 cup),2
Collard Greens (with ham hock),2
Tomato Soup (1 can),2
Tomato (1 medium sliced),2
Blue Cheese (1 oz),2
Hoisin Sauce (1 tbsp),2
Espresso (double shot),2
Scallops (3oz seared),2
Mignonette Sauce (1 tbsp),2
Almonds (1 oz),2
Watermelon (1 cup diced),2
Corn Flakes (1 cup),2
BBQ Sauce (2 tbsp),2
