id_session,session_date,id_user,age,gender,height_m,experience_level,weight_kg,max_bpm,avg_bpm,resting_bpm,session_duration_hours,calories_burned,workout_type,fat_percentage,water_intake_liters,workout_frequency_days_per_week,bmi
51,2026-02-23,50,18,Female,1.79,1.0,82.25,199.0,154.0,61.0,3.11,2734.0,Strength,20.85,2.7,2.0,19.92
52,2026-02-23,51,18,Female,1.79,2.0,63.2,177.0,154.0,71.0,3.43,1386.0,Cardio,19.95,6.8,3.0,16.52
53,2026-02-23,52,18,Female,1.79,3.0,81.9,178.0,160.0,60.0,1.24,1172.0,,28.5,1.7,3.0,12.32
54,2026-02-23,53,18,Female,1.8,1.0,40.0,196.0,120.0,70.0,2.0,979.0,Cardio,10.0,2.6,4.0,20.06
55,2026-02-23,54,18,Female,1.8,2.0,45.05,187.0,141.0,60.0,2.62,1850.0,HIIT,27.45,5.1,3.0,21.99
56,2026-02-23,55,18,Female,1.81,1.0,67.9,194.0,137.0,73.0,1.19,1405.0,Cardio,33.8,3.2,2.0,12.32
57,2026-02-23,56,18,Female,1.81,3.0,78.5,190.0,127.0,74.0,1.38,466.0,Yoga,29.9,1.7,4.0,15.7
58,2026-02-23,57,18,Female,1.82,1.0,96.0,198.0,144.0,58.0,1.19,323.0,Yoga,23.8,1.8,3.0,12.32
59,2026-02-23,58,18,Female,1.82,2.0,69.8,178.0,168.0,58.0,1.9,963.0,HIIT,31.4,3.7,5.0,34.21
60,2026-02-23,59,18,Female,1.82,3.0,56.0,170.0,131.0,62.0,1.55,1249.0,HIIT,,2.0,3.0,15.72
61,2026-02-23,60,18,Female,1.83,1.0,100.3,168.0,125.0,74.0,1.21,746.0,Yoga,23.3,3.4,5.0,
62,2026-02-23,61,18,Female,1.83,2.0,62.95,180.0,137.0,60.0,2.71,2113.0,Strength,19.95,6.1,3.0,16.07
63,2026-02-23,62,18,Female,1.84,2.0,83.6,186.0,137.0,73.0,1.33,1338.0,Strength,35.0,2.6,2.0,30.41
64,2026-02-23,63,18,Female,1.85,1.0,77.5,188.0,146.0,70.0,3.19,1942.0,Yoga,20.05,5.0,2.0,14.81
65,2026-02-23,64,18,Female,1.85,3.0,63.4,191.0,148.0,69.0,0.89,1106.0,Strength,21.4,2.3,5.0,15.64
66,2026-02-23,65,18,Female,1.86,3.0,64.35,182.0,165.0,69.0,1.75,2214.0,Strength,24.1,6.5,2.0,21.88
67,2026-02-23,66,18,Female,1.87,1.0,58.4,167.0,168.0,74.0,1.42,1306.0,Cardio,26.9,3.2,2.0,17.66
68,2026-02-23,67,18,Female,1.87,2.0,70.9,176.0,164.0,59.0,2.0,745.0,HIIT,28.2,3.2,4.0,15.74
69,2026-02-23,68,18,Female,1.88,1.0,40.0,165.0,145.0,71.0,1.59,1121.0,\nStrength,22.6,3.4,2.0,14.1
70,2026-02-23,69,18,Female,1.89,2.0,42.8,194.0,162.0,73.0,2.0,736.0,,22.5,1.5,3.0,18.54
71,2026-02-23,70,18,Female,1.9,3.0,40.0,166.0,169.0,57.0,1.28,1556.0,Strength,17.4,2.1,2.0,19.51
72,2026-02-23,71,18,Female,1.95,2.0,43.0,163.0,164.0,68.0,2.0,1349.0,Strength,18.5,3.2,2.0,12.32
73,2026-02-23,72,18,Female,1.96,2.0,70.8,196.0,130.0,61.0,1.46,708.0,,25.2,2.2,3.0,12.32
74,2026-02-23,73,18,Female,1.96,3.0,43.8,193.0,142.0,50.0,1.03,1590.0,Strength,29.7,3.6,2.0,21.88
75,2026-02-23,74,18,Female,1.99,2.0,98.5,187.0,153.0,57.0,1.95,859.0,Yoga,22.7,1.9,3.0,15.7
76,2026-02-23,75,18,Female,2.0,2.0,69.9,184.0,132.0,73.0,2.66,2122.0,HIIT,24.4,4.3,4.0,15.8
77,2026-02-23,76,18,Male,1.5,1.0,129.4,177.0,145.0,71.0,0.0,772.0,Strength,22.0,1.7,5.0,18.07
78,2026-02-23,77,18,Male,1.5,3.0,82.8,197.0,134.0,74.0,1.79,1009.0,Cardio,30.5,3.3,3.0,19.41
79,2026-02-23,78,18,Male,1.51,2.0,78.0,182.0,169.0,64.0,1.06,990.0,Strength,31.4,3.1,3.0,12.32
80,2026-02-23,79,18,Male,1.52,2.0,94.7,161.0,141.0,66.0,1.4,1446.0,Yoga,16.7,2.6,3.0,22.4
81,2026-02-23,80,18,Male,1.54,1.0,46.5,198.0,169.0,55.0,0.0,1060.0,Cardio,28.9,3.1,5.0,14.01
82,2026-02-23,81,18,Male,1.54,2.0,71.9,170.0,121.0,59.0,1.48,658.0,HIIT,18.9,2.6,4.0,24.65
83,2026-02-23,82,18,Male,1.57,2.0,60.5,177.0,131.0,59.0,1.3,1286.0,HIIT,28.1,2.6,3.0,19.42
84,2026-02-23,83,18,Male,1.58,1.0,40.0,,164.0,52.0,1.08,1262.0,HIIT,24.7,3.2,4.0,28.07
85,2026-02-23,84,18,Male,1.58,2.0,98.9,181.0,126.0,68.0,1.48,1330.0,Cardio,27.5,3.1,3.0,12.32
86,2026-02-23,85,18,Male,1.58,3.0,51.8,164.0,164.0,51.0,0.84,1110.0,Cardio,25.8,3.5,3.0,16.04
87,2026-02-23,86,18,Male,1.59,2.0,96.65,198.0,136.0,56.0,2.25,968.0,Yoga,25.2,5.5,5.0,22.53
88,2026-02-23,87,18,Male,1.6,1.0,65.3,177.0,153.0,74.0,0.96,0.0,Yoga,23.6,2.4,4.0,18.84
89,2026-02-23,88,18,Male,1.6,2.0,54.7,167.0,156.0,57.0,1.63,1134.0,Yoga,22.7,3.4,4.0,15.86
90,2026-02-23,89,18,Male,1.6,3.0,61.3,191.0,135.0,67.0,1.09,609.0,,13.7,1.6,2.0,14.7
91,2026-02-23,90,18,Male,1.61,2.0,64.2,167.0,147.0,,1.17,1783.0,Cardio,25.9,2.1,3.0,12.83
92,2026-02-23,91,18,Male,1.62,1.0,63.23,192.0,164.0,64.0,4.18,3781.0,Cardio,23.67,8.9,5.0,25.07
93,2026-02-23,92,18,Male,1.62,3.0,123.8,164.0,167.0,59.0,1.43,303.0,Strength,22.3,3.6,2.0,24.63
94,2026-02-23,93,18,Male,1.62,,83.2,169.0,156.0,57.0,1.37,871.0,Cardio,10.0,2.5,4.0,18.69
95,2026-02-23,94,18,Male,1.64,1.0,41.15,198.0,160.0,60.0,2.75,2516.0,Cardio,22.8,5.0,3.0,21.64
96,2026-02-23,95,18,Male,1.64,3.0,60.5,177.0,151.0,63.0,2.97,1346.0,\nStrength,23.65,3.6,3.0,16.1
97,2026-02-23,96,18,Male,1.64,,79.0,191.0,150.0,74.0,1.37,1741.0,Yoga,16.9,1.9,4.0,30.73
98,2026-02-23,97,18,Male,1.65,1.0,40.0,160.0,144.0,73.0,2.0,1078.0,\tYoga,17.4,3.5,2.0,21.36
99,2026-02-23,98,18,Male,1.66,1.0,63.15,199.0,142.0,67.0,6.77,4133.0,Strength,25.68,11.2,3.0,16.53
100,2026-02-23,99,18,Male,1.66,2.0,63.0,191.0,168.0,74.0,0.89,456.0,Strength,24.5,2.7,3.0,14.75
101,2026-02-23,100,18,Male,1.67,1.0,44.8,193.0,137.0,61.0,1.3,719.0,Yoga,21.6,2.3,4.0,12.32
102,2026-02-23,101,18,Male,1.67,3.0,62.85,167.0,145.0,72.0,2.6,1867.0,Strength,26.7,5.1,2.0,18.4
103,2026-02-23,102,18,Male,1.68,1.0,49.1,,142.0,74.0,1.13,961.0,Yoga,23.7,3.1,,15.28
104,2026-02-23,103,18,Male,1.68,2.0,115.8,177.0,150.0,74.0,1.11,629.0,Strength,24.2,3.6,5.0,20.56
105,2026-02-23,104,18,Male,1.69,1.0,65.3,186.0,139.0,58.0,3.52,2268.0,Yoga,22.2,4.4,2.0,16.58
106,2026-02-23,105,18,Male,1.69,2.0,67.7,192.0,123.0,57.0,1.44,1445.0,Cardio,26.8,3.1,3.0,21.16
107,2026-02-23,106,18,Male,1.69,,50.0,196.0,143.0,53.0,0.0,1115.0,Yoga,21.6,2.7,4.0,28.53
108,2026-02-23,107,18,Male,1.7,1.0,46.55,190.0,144.0,68.0,2.34,3329.0,Strength,25.3,5.4,4.0,18.76
109,2026-02-23,108,18,Male,1.7,2.0,91.1,,137.0,68.0,1.03,826.0,Cardio,33.7,3.5,2.0,18.24
110,2026-02-23,109,18,Male,1.71,2.0,88.15,177.0,152.0,60.0,3.04,1829.0,HIIT,31.85,5.0,2.0,23.2
111,2026-02-23,110,18,Male,1.71,3.0,87.3,199.0,145.0,65.0,1.16,1783.0,Cardio,30.0,3.3,3.0,12.32
112,2026-02-23,111,18,Male,1.72,1.0,40.0,195.0,137.0,52.0,2.0,1783.0,Cardio,18.6,1.5,4.0,12.77
113,2026-02-23,112,18,Male,1.72,3.0,40.0,193.0,138.0,74.0,1.41,726.0,Yoga,28.0,3.7,2.0,32.62
114,2026-02-23,113,18,Male,1.72,,40.0,188.0,155.0,74.0,1.51,1266.0,Cardio,26.4,2.5,2.0,17.79
115,2026-02-23,114,18,Male,1.73,2.0,75.45,192.0,151.0,57.0,2.65,2435.0,Strength,23.4,5.5,2.0,14.97
116,2026-02-23,115,18,Male,1.73,3.0,40.0,168.0,121.0,73.0,0.64,1153.0,HIIT,29.9,3.1,2.0,18.62
117,2026-02-23,116,18,Male,1.74,2.0,69.13,180.0,149.0,65.0,4.09,3652.0,Cardio,22.73,10.1,2.0,19.42
118,2026-02-23,117,18,Male,1.74,3.0,60.94,198.0,145.0,67.0,5.76,4847.0,Strength,21.23,16.2,2.0,14.91
119,2026-02-23,118,18,Male,1.75,1.0,55.15,187.0,145.0,70.0,7.03,4416.0,HIIT,24.33,10.3,3.0,22.56
120,2026-02-23,119,18,Male,1.75,2.0,77.15,196.0,162.0,63.0,3.32,1351.0,Cardio,28.0,5.1,2.0,29.22
121,2026-02-23,120,18,Male,1.75,3.0,67.15,184.0,142.0,53.0,1.45,1823.0,Strength,30.6,6.0,4.0,17.45
122,2026-02-23,121,18,Male,1.76,1.0,78.6,197.0,162.0,62.0,3.94,3466.0,Cardio,25.87,9.7,3.0,15.74
123,2026-02-23,122,18,Male,1.76,2.0,63.35,175.0,144.0,56.0,2.41,2997.0,Cardio,17.35,5.5,3.0,22.09
124,2026-02-23,123,18,Male,1.76,3.0,81.15,186.0,147.0,64.0,2.5,2825.0,Cardio,22.1,6.8,4.0,22.63
125,2026-02-23,124,18,Male,1.77,1.0,43.5,161.0,136.0,57.0,2.0,452.0,Cardio,24.4,3.3,5.0,21.96
126,2026-02-23,125,18,Male,1.77,2.0,65.93,198.0,143.0,69.0,3.61,3066.0,Yoga,22.03,10.6,3.0,20.14
127,2026-02-23,126,18,Male,1.78,1.0,69.45,170.0,133.0,59.0,4.0,3053.0,Strength,25.0,4.6,5.0,18.56
128,2026-02-23,127,18,Male,1.78,2.0,73.7,192.0,154.0,73.0,1.18,851.0,Strength,27.4,2.6,2.0,21.08
129,2026-02-23,128,18,Male,1.78,3.0,63.6,194.0,144.0,62.0,4.79,3791.0,Strength,21.68,11.7,4.0,20.6
130,2026-02-23,129,18,Male,1.8,3.0,40.0,197.0,165.0,57.0,1.24,1937.0,HIIT,29.3,7.0,3.0,12.32
131,2026-02-23,130,18,Male,1.81,3.0,44.8,164.0,,57.0,1.2,742.0,HIIT,23.5,3.3,4.0,19.04
132,2026-02-23,131,18,Male,1.82,2.0,52.4,177.0,141.0,71.0,2.66,1868.0,Strength,23.95,6.9,3.0,23.06
133,2026-02-23,132,18,Male,1.82,3.0,42.0,188.0,137.0,67.0,0.77,589.0,HIIT,16.4,2.0,2.0,29.09
134,2026-02-23,133,18,Male,1.83,2.0,50.0,163.0,140.0,64.0,1.41,969.0,Yoga,19.0,1.9,3.0,14.29
135,2026-02-23,134,18,Male,1.83,3.0,51.4,195.0,141.0,54.0,0.97,1145.0,HIIT,23.7,1.7,2.0,16.63
136,2026-02-23,135,18,Male,1.84,1.0,46.9,185.0,147.0,65.0,1.29,1040.0,HIIT,21.8,1.7,3.0,13.0
137,2026-02-23,136,18,Male,1.84,2.0,89.4,179.0,152.0,71.0,3.52,2224.0,Strength,19.9,6.0,5.0,16.84
138,2026-02-23,137,18,Male,1.84,3.0,71.95,189.0,139.0,68.0,2.17,2033.0,Strength,19.35,4.9,2.0,21.34
139,2026-02-23,138,18,Male,1.85,1.0,47.8,161.0,156.0,50.0,1.02,1265.0,Yoga,30.8,3.2,5.0,12.32
140,2026-02-23,139,18,Male,1.85,2.0,40.0,175.0,144.0,51.0,2.0,1318.0,,32.7,2.0,4.0,21.16
141,2026-02-23,140,18,Male,1.85,3.0,41.6,181.0,169.0,52.0,2.0,1130.0,Yoga,14.5,3.4,5.0,12.32
142,2026-02-23,141,18,Male,1.86,1.0,63.9,161.0,147.0,51.0,1.83,1178.0,Strength,24.0,3.3,2.0,24.05
143,2026-02-23,142,18,Male,1.86,2.0,56.5,193.0,129.0,54.0,1.4,901.0,HIIT,20.6,3.5,4.0,13.7
144,2026-02-23,143,18,Male,1.87,2.0,54.33,195.0,140.0,61.0,4.87,2927.0,HIIT,14.1,6.3,4.0,29.82
145,2026-02-23,144,18,Male,1.88,1.0,74.6,177.0,166.0,53.0,2.0,1010.0,Cardio,18.0,2.2,5.0,30.5
146,2026-02-23,145,18,Male,1.88,2.0,80.55,189.0,163.0,57.0,4.0,2697.0,Yoga,19.85,5.9,3.0,14.8
147,2026-02-23,146,18,Male,1.89,1.0,73.0,172.0,153.0,56.0,1.19,596.0,Cardio,15.6,3.4,5.0,17.22
148,2026-02-23,147,18,Male,1.89,2.0,50.6,189.0,130.0,66.0,0.0,1278.0,HIIT,28.5,3.7,4.0,27.87
149,2026-02-23,148,18,Male,1.93,2.0,56.5,177.0,156.0,52.0,1.53,1419.0,Strength,22.3,3.5,4.0,16.43
150,2026-02-23,149,18,Male,1.94,1.0,41.6,168.0,153.0,57.0,0.86,1068.0,Strength,25.0,3.1,4.0,19.74
151,2026-02-23,150,18,Male,1.94,2.0,83.1,188.0,153.0,56.0,1.41,1180.0,Yoga,24.4,3.3,3.0,17.84
152,2026-02-23,151,18,Male,1.95,1.0,48.6,175.0,152.0,57.0,1.87,862.0,Strength,23.1,1.6,3.0,12.32
153,2026-02-23,152,18,Male,1.96,2.0,49.8,199.0,162.0,74.0,1.64,996.0,Strength,,2.3,4.0,14.35
154,2026-02-23,153,18,Male,1.97,1.0,75.4,177.0,136.0,67.0,0.76,1371.0,HIIT,29.7,3.1,2.0,15.43
155,2026-02-23,154,18,Male,1.97,2.0,41.0,189.0,149.0,63.0,1.64,596.0,Strength,,1.8,2.0,12.32
156,2026-02-23,155,18,Male,2.0,1.0,97.5,169.0,159.0,68.0,1.17,782.0,Strength,24.8,1.8,2.0,42.88
157,2026-02-23,156,18,Male,2.0,2.0,53.35,180.0,126.0,57.0,2.89,2726.0,HIIT,23.6,4.7,5.0,16.6
158,2026-02-23,157,18,Male,2.0,3.0,63.43,180.0,161.0,62.0,3.61,3418.0,HIIT,23.5,9.7,2.0,16.25
159,2026-02-23,158,18,nan,1.64,1.0,69.1,183.0,139.0,73.0,1.32,1002.0,,26.0,1.5,5.0,16.27
160,2026-02-23,159,18,nan,1.68,1.0,40.0,178.0,147.0,71.0,2.0,831.0,HIIT,17.3,3.5,4.0,24.89
161,2026-02-23,160,18,nan,1.68,3.0,40.0,163.0,137.0,61.0,1.1,1470.0,Cardio,31.7,1.7,4.0,19.34
162,2026-02-23,161,18,nan,1.69,3.0,67.5,177.0,169.0,72.0,1.07,975.0,,26.2,1.6,4.0,14.08
163,2026-02-23,162,18,nan,1.72,2.0,62.9,191.0,157.0,63.0,1.31,514.0,Strength,26.3,2.2,3.0,12.32
164,2026-02-23,163,18,nan,1.74,,50.6,162.0,153.0,74.0,1.25,634.0,Strength,29.3,1.5,4.0,17.25
165,2026-02-23,164,18,nan,1.79,1.0,82.7,171.0,167.0,69.0,1.09,1305.0,HIIT,21.8,2.1,2.0,12.89
166,2026-02-23,165,18,nan,1.79,2.0,93.75,194.0,168.0,71.0,3.89,1575.0,\nStrength,23.95,5.0,2.0,15.69
167,2026-02-23,166,18,nan,1.87,3.0,87.4,182.0,162.0,65.0,0.0,1303.0,Strength,27.6,3.6,2.0,12.32
168,2026-02-23,167,18,nan,1.97,1.0,80.4,172.0,137.0,74.0,1.62,617.0,Strength,22.4,3.4,3.0,16.91
169,2026-02-23,168,18,nan,1.99,1.0,75.8,191.0,167.0,71.0,1.53,850.0,HIIT,10.0,3.5,4.0,15.4
170,2026-02-23,169,19,Female,1.6,2.0,64.8,189.0,149.0,59.0,0.5,880.0,\tYoga,22.3,1.9,4.0,21.61
171,2026-02-23,170,19,Female,1.7,3.0,43.6,168.0,126.0,55.0,1.42,685.0,HIIT,23.9,1.5,4.0,19.35
172,2026-02-23,171,19,Female,1.71,1.0,55.2,172.0,136.0,74.0,1.93,670.0,Yoga,10.0,3.1,4.0,20.85
173,2026-02-23,172,19,Female,1.71,2.0,129.9,161.0,169.0,56.0,2.0,443.0,Yoga,29.6,2.4,4.0,12.32
174,2026-02-23,173,19,Female,1.73,1.0,66.7,172.0,,71.0,1.18,589.0,HIIT,24.9,1.8,3.0,19.24
175,2026-02-23,174,19,Female,1.77,3.0,40.0,179.0,139.0,74.0,1.22,1173.0,Yoga,27.7,1.6,3.0,19.2
176,2026-02-23,175,19,Female,1.79,2.0,76.4,189.0,132.0,57.0,1.41,1414.0,HIIT,33.3,3.5,3.0,14.21
177,2026-02-23,176,19,Female,1.79,3.0,82.8,192.0,127.0,74.0,1.18,1140.0,Cardio,10.0,2.4,4.0,21.95
178,2026-02-23,177,19,Female,1.84,1.0,76.6,188.0,138.0,71.0,1.72,699.0,HIIT,28.3,3.5,4.0,19.76
179,2026-02-23,178,19,Female,1.84,3.0,51.4,169.0,152.0,58.0,1.14,1175.0,\tCardio,20.9,3.5,5.0,16.95
180,2026-02-23,179,19,Female,1.85,2.0,82.65,194.0,129.0,71.0,2.32,1712.0,HIIT,23.45,6.9,2.0,17.81
181,2026-02-23,180,19,Female,1.91,2.0,71.7,197.0,148.0,74.0,1.15,464.0,Cardio,32.5,2.7,4.0,19.09
182,2026-02-23,181,19,Female,1.93,3.0,40.0,167.0,158.0,74.0,1.19,1265.0,Yoga,24.7,2.6,4.0,12.32
183,2026-02-23,182,19,Male,1.59,,40.0,187.0,152.0,73.0,1.52,948.0,Yoga,27.1,1.6,3.0,13.85
184,2026-02-23,183,19,Male,1.6,2.0,46.95,194.0,153.0,72.0,2.41,1879.0,Cardio,19.0,5.3,2.0,16.67
185,2026-02-23,184,19,Male,1.64,2.0,58.6,187.0,135.0,66.0,1.18,1564.0,Yoga,10.0,3.4,3.0,21.91
186,2026-02-23,185,19,Male,1.67,2.0,75.3,166.0,130.0,58.0,1.22,928.0,HIIT,27.4,3.2,3.0,23.17
187,2026-02-23,186,19,Male,1.69,2.0,41.9,176.0,138.0,74.0,1.89,1010.0,Yoga,27.9,2.6,2.0,17.97
188,2026-02-23,187,19,Male,1.7,1.0,60.25,183.0,124.0,73.0,2.76,1947.0,Strength,25.25,6.3,4.0,29.21
189,2026-02-23,188,19,Male,1.73,1.0,72.5,184.0,135.0,71.0,1.12,1392.0,HIIT,11.9,3.5,3.0,29.87
190,2026-02-23,189,19,Male,1.75,2.0,97.4,173.0,144.0,56.0,1.27,917.0,HIIT,27.1,3.2,4.0,28.45
191,2026-02-23,190,19,Male,1.77,2.0,79.4,165.0,150.0,73.0,1.23,1148.0,Cardio,24.1,3.3,3.0,22.64
192,2026-02-23,191,19,Male,1.78,2.0,51.4,167.0,154.0,70.0,2.0,1218.0,Yoga,29.8,2.1,3.0,13.61
193,2026-02-23,192,19,Male,1.82,1.0,129.9,182.0,158.0,70.0,1.44,1155.0,Cardio,20.2,3.6,,17.37
194,2026-02-23,193,19,Male,1.84,1.0,40.0,199.0,123.0,74.0,1.34,904.0,,30.2,3.1,3.0,16.34
195,2026-02-23,194,19,Male,1.98,2.0,87.7,186.0,145.0,50.0,1.61,1705.0,Strength,14.1,2.3,3.0,15.99
196,2026-02-23,195,19,nan,1.72,2.0,116.6,187.0,126.0,70.0,1.1,779.0,Strength,23.8,2.6,3.0,16.61
197,2026-02-23,196,19,nan,1.73,1.0,92.2,170.0,150.0,74.0,2.0,538.0,Cardio,10.0,2.2,2.0,15.3
198,2026-02-23,197,19,nan,1.89,2.0,86.3,164.0,131.0,74.0,0.97,1175.0,HIIT,19.5,2.4,,28.62
199,2026-02-23,198,20,Female,1.5,1.0,,198.0,128.0,50.0,0.97,906.0,Cardio,31.2,3.4,2.0,21.03
200,2026-02-23,199,20,Female,1.53,1.0,103.4,180.0,166.0,56.0,1.28,631.0,HIIT,23.0,3.0,4.0,19.18
201,2026-02-23,200,20,Female,1.59,1.0,84.6,175.0,153.0,61.0,2.53,2174.0,Strength,20.15,5.8,5.0,18.37
202,2026-02-23,201,20,Female,1.6,1.0,43.6,165.0,141.0,60.0,1.37,1783.0,Strength,16.9,1.5,4.0,15.52
203,2026-02-23,202,20,Female,1.6,2.0,82.6,174.0,149.0,63.0,2.0,775.0,HIIT,22.9,3.3,2.0,15.06
204,2026-02-23,203,20,Female,1.61,3.0,102.9,172.0,146.0,70.0,1.57,1113.0,Yoga,23.5,3.2,3.0,21.82
205,2026-02-23,204,20,Female,1.63,2.0,72.9,164.0,156.0,51.0,1.11,582.0,Strength,27.1,3.2,3.0,19.83
206,2026-02-23,205,20,Female,1.69,1.0,66.65,198.0,135.0,66.0,2.12,1957.0,HIIT,23.1,4.7,4.0,18.31
207,2026-02-23,206,20,Female,1.69,,86.0,183.0,136.0,58.0,1.16,861.0,Strength,23.3,3.6,5.0,28.85
208,2026-02-23,207,20,Female,1.74,3.0,84.8,165.0,151.0,59.0,1.49,717.0,HIIT,24.9,3.4,4.0,14.13
209,2026-02-23,208,20,Female,1.75,1.0,,193.0,136.0,51.0,0.58,1218.0,Yoga,28.4,3.0,4.0,19.66
210,2026-02-23,209,20,Female,1.75,2.0,69.3,180.0,120.0,72.0,1.06,1421.0,Yoga,24.6,3.2,4.0,25.22
